State,fips,1925,1928,1932,1935,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2006,2007,2008,2009,2010,2011,2012,2013,2014
AK,US02,,,,,,,,,,,,,,,,,,3186,3646,,,,1105,,120,,231,921,462,15,,,335,,161,18,351,21,,579,6,6,6,3,,,527,452,6,429,123,1886,1628,8784,1038,,3,6604,10706,900
AL,US01,,,,,137,1005,1892,9253,12889,14252,15133,10966,10727,9931,13946,12669,13216,11497,11899,10105,13291,9605,12527,924,1637,126,228,117,12,120,,123,120,3,1496,612,942,3010,5967,4404,3483,387,3727,1941,2180,814,948,1038,594,252,1389,2566,6,15,1685,717,689,1695,1281,717
AR,US05,,,,,173,467,787,9565,10664,11783,12367,9492,10190,9015,14090,11844,10589,14838,12089,9645,12259,9681,11580,1142,1151,1106,929,960,807,258,6,225,723,891,345,822,129,1964,1244,1191,366,486,360,1553,821,468,2087,4265,483,209,1608,2599,1901,1508,2613,2437,360,930,1619,1610
AZ,US04,,,,,28,298,748,10775,11280,12772,7930,10788,10712,11275,9582,13881,10226,16476,14772,11941,8451,9656,11669,,,,,1149,1371,1689,468,1012,1961,1152,3005,3636,2465,4460,8655,1464,1661,3638,578,4436,6477,1474,1799,4233,3085,4621,7559,6832,3108,1059,2241,1508,2268,4482,4469,1811
CA,US06,,,,,2143,4045,6939,10650,13943,7805,12296,20661,9876,22090,9979,18246,20293,11263,20421,17337,15372,11765,11429,14332,8948,4220,9467,13016,6329,8539,9495,5215,6618,8201,11153,10419,9921,10790,10018,11915,11007,9388,10554,7454,8052,6120,4792,4139,4044,4519,,1399,417,420,3,4217,5297,732,4175,5972
CO,US08,,,,,62,937,1918,10663,14627,11039,12971,9197,12227,11011,17237,15609,12097,9085,5530,11319,7823,10571,8678,,,,572,153,2063,837,1327,836,7390,2854,4849,4342,4223,2322,2567,3886,7357,2377,6185,1708,4816,6074,11582,7994,8771,12431,10425,8231,12316,8178,10237,9931,9495,,3015,1938
CT,US09,,,,,329,3408,3800,16871,20924,19666,14100,16046,17503,16613,19570,11895,14868,13308,12190,13006,9232,13037,11545,1047,246,708,21,357,18,12,3,225,335,123,252,1266,1666,933,897,1236,705,2150,4371,2024,1358,567,696,1031,873,1455,243,,2,,,3,117,3,3,
DC,US11,,,,,44,495,1332,12309,9090,7607,11706,11447,14110,14431,11083,11234,6344,10450,9783,4325,8339,9699,6865,,,,3,,,,,3,,,3,,,3,120,747,6,3,357,360,18,120,117,,,,3,231,,6,,,3,345,1027,132
DE,US10,,,0,,71,358,430,13178,10418,6160,7982,3598,5567,11811,10575,3774,9109,13502,3500,1630,1860,1901,4212,225,114,,,3,,3,3,123,231,3,,1484,228,18,3,6,,237,591,9,30,474,,123,231,132,,,9,6,9,9,15,249,132,1026
FL,US12,,,,,40,666,1112,11640,10910,11380,8608,9030,11641,10597,15316,10913,8310,12341,9794,11527,11041,15125,10472,549,1477,1696,1812,2969,1837,3361,3159,2376,1874,4405,4255,3058,1312,1963,2172,1778,3619,2220,5423,3351,4193,5148,6528,8083,9030,2467,1612,15539,13420,14196,11855,15009,16317,10259,8690,3541
GA,US13,,,,,94,1570,1410,9811,9965,11236,13320,9293,8854,12144,12781,10851,10089,9311,11056,8978,6154,11684,10952,462,132,6,3406,4704,5478,8724,3163,1771,3148,363,3739,7601,1216,2451,3543,2486,2663,1143,2357,908,2243,1025,1013,1427,2165,2234,617,6,6,129,15,2441,3273,1329,1493,1009
HI,US15,,,,,,,,,,,,,,,,,,1430,243,,,,1669,,,3,,3,465,,12,96,9,3251,1094,953,9237,1963,1646,3258,3331,1597,1041,723,2350,591,3,9,9,6,117,,,3,366,3,255,252,3,
IA,US19,,,,,271,1272,951,12557,13984,8546,12807,10428,12136,12182,9546,14545,11397,10795,9723,8732,9137,5500,11128,480,12,9,,462,12,6,132,243,135,153,392,996,2354,1753,372,812,723,465,2313,771,243,1151,3606,2160,1396,1042,1019,3,,,3,,,3,,
ID,US16,,,0,,82,84,132,12276,10469,10348,8607,7429,10751,10864,11133,14026,7734,9280,11016,4515,4143,12621,10218,231,534,344,240,120,225,462,120,468,764,237,708,2736,3813,8727,3533,2659,1472,1922,4161,3605,3698,5124,7378,8947,4837,2696,2608,2208,1720,929,2186,8396,7266,8995,9847,8165
IL,US17,,,,,708,14753,13064,9949,10043,8058,4098,19033,18931,14626,16379,16591,17517,18924,10555,7928,11643,8059,14354,10606,5615,1730,2700,3515,4359,2688,4036,5936,5331,696,1148,366,132,696,,114,3,3,6,,4129,6197,3659,5046,2350,4264,2618,,,,,6,3,3,,
IN,US18,,,,,211,899,2646,9385,10846,15623,16908,9326,10915,9361,17954,11814,9190,14801,9122,12037,11280,14419,15014,,414,,,3842,1469,4615,4279,930,3904,5086,1122,1605,1286,2855,2138,5233,3353,3101,6358,3170,1809,3883,4229,5757,3028,5264,5605,9385,3280,4762,123,,,3,,
KS,US20,,11,,,536,4396,912,16649,13341,16918,17258,12471,11928,9303,14772,15615,13582,14096,10632,10479,7564,9596,11631,,,765,3,,596,22,132,375,2668,1242,1409,6051,264,21,237,1360,834,1994,828,240,699,,,6,3,480,708,11764,4379,1021,1555,120,585,9,3,
KY,US21,,,,,564,1242,1659,19626,21006,17631,17353,17970,13991,9870,13198,11512,12424,13646,10409,14278,10844,11671,16528,2051,2300,1891,816,2050,959,2119,1367,126,366,6,459,231,6,465,3,,,3,228,307,459,114,12,624,129,693,807,459,117,1695,4360,3557,2359,4863,5185,1952
LA,US22,,,,,71,650,1098,15381,10877,10923,10861,5141,9366,8213,14164,7203,4209,8164,10041,9636,5921,14489,7754,907,3971,246,249,12,921,1645,24,1095,363,354,480,591,2547,708,1793,1502,584,261,135,360,597,141,704,240,225,,,3,3,3,18,3,12,,15,
MA,US25,,,0,,1203,5672,7597,4733,6994,6513,15269,20626,5779,5942,6460,17497,17669,12515,15724,11432,12627,10188,12053,9,12,27,132,1047,939,825,930,1173,1302,384,2857,3383,1660,3269,8248,12376,10301,6023,2801,6966,10835,9142,4265,8510,4151,4813,138,1271,1487,674,762,348,569,1652,1838,
MD,US24,,,0,,608,2174,2138,12937,19068,19966,14404,17768,20952,10791,22301,9386,13622,15829,12657,11265,11370,19606,13806,3,,,,,132,117,3,2012,1200,791,5436,3724,1255,3033,2298,4409,2407,2456,8319,3963,803,6905,4782,1883,2519,4336,1955,3553,2381,4760,3044,3156,2674,10840,5642,1718
ME,US23,,,,,315,2219,2170,13202,11194,14501,12531,9897,14873,8833,8343,12275,14147,13963,12163,10157,11453,9100,9911,,,,,,467,123,468,120,123,6,678,6,1717,133,1921,1376,2113,357,1050,1254,1300,687,449,6,,1674,70,699,138,234,465,591,3873,9205,7516,4270
MI,US26,,,,,1188,13594,8690,7107,12139,6965,9014,20656,14615,8310,7249,12279,11290,6917,20209,14578,16909,10257,20604,5048,5133,3884,4498,2260,3898,1299,1242,1274,2407,1281,2964,1517,2824,1197,1518,3268,1874,255,4297,2269,2406,2402,1580,1554,1851,3235,1591,9090,3963,4783,11316,11192,8515,9716,9034,6224
MN,US27,,,,,431,1821,2325,13969,20205,16582,22049,11938,10101,14140,17146,11742,8035,10593,9010,6388,8811,14639,10760,6,3,12,15,1543,788,1230,372,1938,2396,780,4072,2042,578,2850,,870,4258,2273,3690,2290,3946,5972,7364,7998,4024,7358,1292,2497,1518,4426,1906,4710,1347,,,
MO,US29,,,,,515,1844,1117,13238,16281,10925,11434,8451,8793,9871,12846,9893,16086,10795,11914,12949,12742,12118,11987,1340,3061,1262,2118,1082,252,1265,465,588,693,756,1822,1166,2480,582,516,2585,1651,3658,2554,482,3,2787,3548,1328,3476,3812,2381,7155,2575,6508,11845,7987,10078,11440,11919,6559
MS,US28,,,,,,0,,10180,13759,6,,14,2,,9617,8430,13013,12500,10908,13002,7267,12115,9919,455,2296,135,942,132,18,584,12,366,126,12,345,3,126,,,6,,3,3,3,3,135,123,,3,,,237,801,27,123,120,6,12,6,231
MT,US30,,,,,169,921,413,13858,9665,7899,9612,12844,10431,10940,11935,11220,6015,9797,11999,5438,5248,9949,7967,639,690,,6,360,363,120,569,3,3,85,138,925,18,120,2682,1118,18,342,465,249,423,1410,891,471,6,264,1074,5802,576,2314,6,468,1462,5928,10127,7954
NC,US37,,,,,1483,13018,9326,9170,9341,13634,8361,11464,13932,16491,18858,15671,10619,17975,15521,12984,9501,9341,11831,3303,2224,2961,1460,2157,1374,1937,144,2545,1676,1897,1305,4870,7523,3607,4921,3912,2357,1989,4914,2810,2739,2820,5718,5134,4660,2375,4914,5237,5115,2767,4544,3,6673,6873,8108,6663
ND,US38,,,,,251,1218,669,14323,11932,10788,10578,11419,4780,2094,6928,9211,7172,8470,9718,1640,9,10125,12039,,,,,456,,117,,,3,,123,3,,,,,,3,,,,3,6,540,380,237,335,1738,342,3,536,1371,2676,1522,,
NE,US31,,,,,108,493,510,6039,9249,12748,12113,10283,6314,11858,9421,8414,4405,10437,5823,4343,2597,7450,3,120,,3,3,3,9,,,,114,641,459,228,3,,129,138,243,696,464,123,240,585,234,18,3,858,123,1618,1313,4801,5661,10962,2156,5960,8050,2630
NH,US33,,,,,61,99,138,13608,8423,11150,5424,4022,7648,7873,7651,6165,7090,8916,11055,5664,6517,6868,6100,971,123,,120,9,,237,959,752,354,6,1438,1335,2779,3038,394,4071,878,3588,7920,3677,3013,5066,4833,6022,2247,6015,1325,2647,240,6,6,,120,249,,
NJ,US34,,,,,931,11293,13292,12947,10332,8346,8041,21278,7939,6573,5989,20242,16046,9797,19082,12243,13995,15261,8046,453,,,,3,639,249,132,824,486,9,360,474,612,946,16,,,74,,,,,,,,956,1322,,,,,,,,,
NM,US35,,,,,302,422,1125,351,7098,12757,10967,8996,11319,12389,8949,8496,7569,9231,10537,9323,12755,12909,8989,924,1041,653,2251,796,1599,1322,33,132,138,138,21,834,255,2644,980,723,1937,4971,1808,954,7871,2819,7762,4931,7468,4274,6372,3,3,,,9,653,18,123,
NV,US32,,,,,,,,,,8892,3652,2014,1829,953,650,791,752,418,341,335,3,1830,984,,,,3,6,3,3,6,,3,114,,228,,3,3,6,6,6,123,117,240,864,725,1081,120,123,696,9,342,126,354,1063,135,3740,4737,3
NY,US36,,,,,3215,24799,21855,14034,14246,18125,10799,5164,9424,4959,6205,11336,5341,4577,19275,18584,11567,16591,19416,8771,5540,4587,8221,10648,6790,10226,5448,11476,11211,7570,8832,7516,10043,6402,6469,9591,8619,5747,12453,13141,8785,8265,1401,12867,9784,12490,8343,8098,11960,14938,16233,15007,14391,17521,3420,
OH,US39,,,,,1551,8052,9252,9705,11072,5288,7657,15632,6057,21566,8027,15309,18724,13777,14960,10197,11477,17346,13692,126,1731,4492,4367,7073,4390,3688,1723,6253,8378,5073,6190,7544,3954,2476,1506,3660,4816,3407,10514,5965,9682,10150,8427,9943,9284,6001,8305,10479,10034,11611,8146,13564,8787,8670,9992,6151
OK,US40,,,,,512,396,191,9148,11617,13460,10160,11045,7535,12587,12847,10806,11859,11035,8940,12757,11088,13231,11603,813,1391,1337,600,261,698,1059,6,129,7323,4460,3972,5310,7932,1705,3245,4728,2968,2253,5024,1756,2008,1038,1745,1903,831,985,1427,1608,261,1877,1261,4413,2284,4293,3190,1808
OR,US41,,,,,187,508,999,10912,9812,12272,12103,13357,10570,12212,9370,11009,8484,14854,12688,15081,9172,9789,11028,2464,1970,809,5030,4018,357,6,341,,135,1073,2522,696,2774,1953,471,4433,3844,1864,1880,1592,1679,1663,907,4151,2224,3591,1719,566,694,1732,1181,3795,1239,4425,2694,1924
PA,US42,85,,,30,1259,13904,18261,15183,12193,8721,9669,14511,5926,7442,6207,18742,13880,13784,19238,18361,19828,19703,16239,,369,1059,1812,1161,27,1703,1233,5350,5320,2051,4561,2615,3429,3811,5154,5347,3854,3989,9639,5871,5992,6624,7225,1787,3247,3206,539,16732,9522,13773,13498,11044,15020,8284,11070,8737
RI,US44,,,,,218,1206,2050,13807,9589,12684,12413,10864,9481,11719,9445,10058,10972,14260,5999,5291,9649,13004,9286,,,708,,670,360,9,33,357,12,12,1035,126,123,990,697,354,,234,788,12,12,1988,980,1124,2559,1041,231,1483,651,350,491,237,12,1043,3047,1576
SC,US45,,,,,279,2708,2665,8330,14344,16566,17017,18743,23170,16793,14918,16933,8093,10634,10480,7843,9297,11499,12567,351,354,,1034,360,132,480,569,480,582,3,9,579,510,3,,758,545,588,1785,470,1179,2428,1353,1011,379,1338,1232,3337,936,2300,4596,7556,2770,2266,3687,585
SD,US46,,,,,251,628,157,9967,11037,8839,11001,10167,8610,1669,6993,6788,3229,7468,6863,2165,1718,5297,2264,117,,3,3,719,,117,114,18,24,27,432,794,12,15,12,3,12,695,132,1170,360,12,9,351,129,566,18,,,3,3,,,,,
TN,US47,,,,,266,1052,2154,15915,18660,13716,17754,10874,10175,11017,14349,11852,10974,14253,9498,10678,13768,11051,10087,4789,3928,1626,2872,3503,1169,1720,585,834,243,237,810,771,477,1461,3452,5441,1580,471,5592,246,2095,141,1400,938,1357,1281,2813,4256,2144,3295,6022,7686,4032,9703,8141,6188
TX,US48,,,,,931,2889,4735,11302,13453,9020,15615,5879,9601,5399,15876,17209,14901,8368,9206,12876,14386,11016,8373,6490,7366,1400,,9411,7168,4745,5200,3952,5284,2517,3056,1535,615,886,1482,946,2173,162,1080,2714,5620,5246,932,8581,5886,3953,7436,3131,3472,4146,5690,9206,12706,13219,14484,7298
UT,US49,,,,,118,877,2532,10438,16321,11435,15897,14907,11858,11189,11069,8437,11889,8533,10352,5249,2559,8039,12096,465,,12,5255,348,114,570,132,228,480,18,2109,2380,696,1381,951,1316,2503,1445,2721,1328,1683,807,890,5413,1779,1059,2738,8691,8587,4011,3,,,12,120,360
VA,US51,,,,,599,3560,3105,18624,14627,18075,13476,16270,16862,16727,20120,16029,10835,15182,13105,7992,13325,11204,11272,2129,492,357,123,282,705,138,246,840,1413,585,1146,3004,3034,1290,647,1167,1134,762,3855,2096,2170,2077,3556,2492,965,5934,2901,2961,933,1837,3503,5701,7672,12447,7782,4884
VT,US50,,,,,242,1856,2184,10962,9304,17913,9156,11499,11385,10266,13413,12998,8254,12323,8952,11174,11253,8379,6216,3,414,,719,,,,,6,234,1155,12,9,12,15,465,129,120,663,4523,1676,585,5719,6771,2408,3584,9292,2261,1161,696,9,3,3,474,8553,2261,357
WA,US53,,,,,621,987,981,18016,14222,11841,17345,11325,9365,12547,10989,14177,8159,15929,10185,8492,10026,9863,10482,3509,1269,1425,3792,2094,357,3882,2983,1479,915,7560,5326,6963,6058,7390,7150,8645,7688,8680,5784,1509,7207,9521,9175,11352,9803,8581,8277,10490,10041,9712,10305,9265,8953,11089,7261,4168
WI,US55,,,,,1548,13024,9886,12913,8546,6569,7813,18289,21787,12862,5495,14922,15390,8408,19741,10503,9317,13519,15951,8127,5359,1419,1262,2255,669,1176,1346,1905,579,231,657,12,123,,9,6,231,348,,,,,,,,,,2,,335,540,129,1721,9899,780,252
WV,US54,,,,,454,2671,1045,15456,15552,11065,15957,11196,13057,9790,8753,9992,8933,17386,9241,11236,8864,11116,14702,257,2629,1122,1478,714,603,1288,15,474,462,255,123,1509,1198,357,1287,1373,240,465,468,15,,117,123,6,3,3,9,867,360,,701,3626,1791,869,9,
WY,US56,,,,,102,108,184,10782,10181,12285,7904,12206,9291,8132,7761,6847,2138,5354,8688,1304,3129,923,7226,3,341,,,,,6,449,12,126,342,3,228,339,3,,3,3,,3,,3,27,15,3,,6,,2404,117,3,,3,,,,3