"x","number"
"1983 NY",11211
"1983 OH",8378
"1983 OK",7323
"1983 OR",135
"1983 PA",5320
"1983 RI",12
"1983 SC",582
"1983 SD",24
"1983 TN",243
"1983 TX",5284
"1983 UT",480
"1983 VA",1413
"1983 VT",234
"1983 WA",915
"1983 WI",579
"1983 WV",462
"1983 WY",126
"1984 AL",3
"1984 AR",891
"1984 AZ",1152
"1984 CA",8201
"1984 CO",2854
"1984 CT",123
"1984 DE",3
"1984 FL",4405
"1984 GA",363
"1984 HI",3251
"1984 IA",153
"1984 ID",237
"1984 IL",696
"1984 IN",5086
"1984 KS",1242
"1984 KY",6
"1984 LA",354
"1984 MA",384
"1984 MD",791
"1984 ME",6
"1984 MI",1281
"1984 MN",780
"1984 MO",756
"1984 MS",12
"1984 MT",85
"1984 NC",1897
"1984 NE",641
"1984 NH",6
"1984 NJ",9
"1984 NM",138
"1984 NV",114
"1984 NY",7570
"1984 OH",5073
"1984 OK",4460
"1984 OR",1073
"1984 PA",2051
"1984 RI",12
"1984 SC",3
"1984 SD",27
"1984 TN",237
"1984 TX",2517
"1984 UT",18
"1984 VA",585
"1984 VT",1155
"1984 WA",7560
"1984 WI",231
"1984 WV",255
"1984 WY",342
"1985 AK",161
"1985 AL",1496
"1985 AR",345
"1985 AZ",3005
"1985 CA",11153
"1985 CO",4849
"1985 CT",252
"1985 DC",3
"1985 FL",4255
"1985 GA",3739
"1985 HI",1094
"1985 IA",392
"1985 ID",708
"1985 IL",1148
"1985 IN",1122
"1985 KS",1409
"1985 KY",459
"1985 LA",480
"1985 MA",2857
"1985 MD",5436
"1985 ME",678
"1985 MI",2964
"1985 MN",4072
"1985 MO",1822
"1985 MS",345
"1985 MT",138
"1985 NC",1305
"1985 ND",123
"1985 NE",459
"1985 NH",1438
"1985 NJ",360
"1985 NM",21
"1985 NY",8832
"1985 OH",6190
"1985 OK",3972
"1985 OR",2522
"1985 PA",4561
"1985 RI",1035
"1985 SC",9
"1985 SD",432
"1985 TN",810
"1985 TX",3056
"1985 UT",2109
"1985 VA",1146
"1985 VT",12
"1985 WA",5326
"1985 WI",657
"1985 WV",123
"1985 WY",3
"1986 AK",18
"1986 AL",612
"1986 AR",822
"1986 AZ",3636
"1986 CA",10419
"1986 CO",4342
"1986 CT",1266
"1986 DE",1484
"1986 FL",3058
"1986 GA",7601
"1986 HI",953
"1986 IA",996
"1986 ID",2736
"1986 IL",366
"1986 IN",1605
"1986 KS",6051
"1986 KY",231
"1986 LA",591
"1986 MA",3383
"1986 MD",3724
"1986 ME",6
"1986 MI",1517
"1986 MN",2042
"1986 MO",1166
"1986 MS",3
"1986 MT",925
"1986 NC",4870
"1986 ND",3
"1986 NE",228
"1986 NH",1335
"1986 NJ",474
"1986 NM",834
"1986 NV",228
"1986 NY",7516
"1986 OH",7544
"1986 OK",5310
"1986 OR",696
"1986 PA",2615
"1986 RI",126
"1986 SC",579
"1986 SD",794
"1986 TN",771
"1986 TX",1535
"1986 UT",2380
"1986 VA",3004
"1986 VT",9
"1986 WA",6963
"1986 WI",12
"1986 WV",1509
"1986 WY",228
"1987 AK",351
"1987 AL",942
"1987 AR",129
"1987 AZ",2465
"1987 CA",9921
"1987 CO",4223
"1987 CT",1666
"1987 DE",228
"1987 FL",1312
"1987 GA",1216
"1987 HI",9237
"1987 IA",2354
"1987 ID",3813
"1987 IL",132
"1987 IN",1286
"1987 KS",264
"1987 KY",6
"1987 LA",2547
"1987 MA",1660
"1987 MD",1255
"1987 ME",1717
"1987 MI",2824
"1987 MN",578
"1987 MO",2480
"1987 MS",126
"1987 MT",18
"1987 NC",7523
"1987 NE",3
"1987 NH",2779
"1987 NJ",612
"1987 NM",255
"1987 NY",10043
"1987 OH",3954
"1987 OK",7932
"1987 OR",2774
"1987 PA",3429
"1987 RI",123
"1987 SC",510
"1987 SD",12
"1987 TN",477
"1987 TX",615
"1987 UT",696
"1987 VA",3034
"1987 VT",12
"1987 WA",6058
"1987 WI",123
"1987 WV",1198
"1987 WY",339
"1988 AK",21
"1988 AL",3010
"1988 AR",1964
"1988 AZ",4460
"1988 CA",10790
"1988 CO",2322
"1988 CT",933
"1988 DC",3
"1988 DE",18
"1988 FL",1963
"1988 GA",2451
"1988 HI",1963
"1988 IA",1753
"1988 ID",8727
"1988 IL",696
"1988 IN",2855
"1988 KS",21
"1988 KY",465
"1988 LA",708
"1988 MA",3269
"1988 MD",3033
"1988 ME",133
"1988 MI",1197
"1988 MN",2850
"1988 MO",582
"1988 MT",120
"1988 NC",3607
"1988 NH",3038
"1988 NJ",946
"1988 NM",2644
"1988 NV",3
"1988 NY",6402
"1988 OH",2476
"1988 OK",1705
"1988 OR",1953
"1988 PA",3811
"1988 RI",990
"1988 SC",3
"1988 SD",15
"1988 TN",1461
"1988 TX",886
"1988 UT",1381
"1988 VA",1290
"1988 VT",15
"1988 WA",7390
"1988 WV",357
"1988 WY",3
"1989 AL",5967
"1989 AR",1244
"1989 AZ",8655
"1989 CA",10018
"1989 CO",2567
"1989 CT",897
"1989 DC",120
"1989 DE",3
"1989 FL",2172
"1989 GA",3543
"1989 HI",1646
"1989 IA",372
"1989 ID",3533
"1989 IN",2138
"1989 KS",237
"1989 KY",3
"1989 LA",1793
"1989 MA",8248
"1989 MD",2298
"1989 ME",1921
"1989 MI",1518
"1989 MO",516
"1989 MT",2682
"1989 NC",4921
"1989 NE",129
"1989 NH",394
"1989 NJ",16
"1989 NM",980
"1989 NV",3
"1989 NY",6469
"1989 OH",1506
"1989 OK",3245
"1989 OR",471
"1989 PA",5154
"1989 RI",697
"1989 SD",12
"1989 TN",3452
"1989 TX",1482
"1989 UT",951
"1989 VA",647
"1989 VT",465
"1989 WA",7150
"1989 WI",9
"1989 WV",1287
"1990 AK",579
"1990 AL",4404
"1990 AR",1191
"1990 AZ",1464
"1990 CA",11915
"1990 CO",3886
"1990 CT",1236
"1990 DC",747
"1990 DE",6
"1990 FL",1778
"1990 GA",2486
"1990 HI",3258
"1990 IA",812
"1990 ID",2659
"1990 IL",114
"1990 IN",5233
"1990 KS",1360
"1990 LA",1502
"1990 MA",12376
"1990 MD",4409
"1990 ME",1376
"1990 MI",3268
"1990 MN",870
"1990 MO",2585
"1990 MS",6
"1990 MT",1118
"1990 NC",3912
"1990 NE",138
"1990 NH",4071
"1990 NM",723
"1990 NV",6
"1990 NY",9591
"1990 OH",3660
"1990 OK",4728
"1990 OR",4433
"1990 PA",5347
"1990 RI",354
"1990 SC",758
"1990 SD",3
"1990 TN",5441
"1990 TX",946
"1990 UT",1316
"1990 VA",1167
"1990 VT",129
"1990 WA",8645
"1990 WI",6
"1990 WV",1373
"1990 WY",3
"1991 AK",6
"1991 AL",3483
"1991 AR",366
"1991 AZ",1661
"1991 CA",11007
"1991 CO",7357
"1991 CT",705
"1991 DC",6
"1991 FL",3619
"1991 GA",2663
"1991 HI",3331
"1991 IA",723
"1991 ID",1472
"1991 IL",3
"1991 IN",3353
"1991 KS",834
"1991 LA",584
"1991 MA",10301
"1991 MD",2407
"1991 ME",2113
"1991 MI",1874
"1991 MN",4258
"1991 MO",1651
"1991 MT",18
"1991 NC",2357
"1991 NE",243
"1991 NH",878
"1991 NM",1937
"1991 NV",6
"1991 NY",8619
"1991 OH",4816
"1991 OK",2968
"1991 OR",3844
"1991 PA",3854
"1991 SC",545
"1991 SD",12
"1991 TN",1580
"1991 TX",2173
"1991 UT",2503
"1991 VA",1134
"1991 VT",120
"1991 WA",7688
"1991 WI",231
"1991 WV",240
"1991 WY",3
"1992 AK",6
"1992 AL",387
"1992 AR",486
"1992 AZ",3638
"1992 CA",9388
"1992 CO",2377
"1992 CT",2150
"1992 DC",3
"1992 DE",237
"1992 FL",2220
"1992 GA",1143
"1992 HI",1597
"1992 IA",465
"1992 ID",1922
"1992 IL",3
"1992 IN",3101
"1992 KS",1994
"1992 KY",3
"1992 LA",261
"1992 MA",6023
"1992 MD",2456
"1992 ME",357
"1992 MI",255
"1992 MN",2273
"1992 MO",3658
"1992 MS",3
"1992 MT",342
"1992 NC",1989
"1992 ND",3
"1992 NE",696
"1992 NH",3588
"1992 NJ",74
"1992 NM",4971
"1992 NV",6
"1992 NY",5747
"1992 OH",3407
"1992 OK",2253
"1992 OR",1864
"1992 PA",3989
"1992 RI",234
"1992 SC",588
"1992 SD",695
"1992 TN",471
"1992 TX",162
"1992 UT",1445
"1992 VA",762
"1992 VT",663
"1992 WA",8680
"1992 WI",348
"1992 WV",465
"1993 AK",6
"1993 AL",3727
"1993 AR",360
"1993 AZ",578
"1993 CA",10554
"1993 CO",6185
"1993 CT",4371
"1993 DC",357
"1993 DE",591
"1993 FL",5423
"1993 GA",2357
"1993 HI",1041
"1993 IA",2313
"1993 ID",4161
"1993 IL",6
"1993 IN",6358
"1993 KS",828
"1993 KY",228
"1993 LA",135
"1993 MA",2801
"1993 MD",8319
"1993 ME",1050
"1993 MI",4297
"1993 MN",3690
"1993 MO",2554
"1993 MS",3
"1993 MT",465
"1993 NC",4914
"1993 NE",464
"1993 NH",7920
"1993 NM",1808
"1993 NV",123
"1993 NY",12453
"1993 OH",10514
"1993 OK",5024
"1993 OR",1880
"1993 PA",9639
"1993 RI",788
"1993 SC",1785
"1993 SD",132
"1993 TN",5592
"1993 TX",1080
"1993 UT",2721
"1993 VA",3855
"1993 VT",4523
"1993 WA",5784
"1993 WV",468
"1993 WY",3
"1994 AK",3
"1994 AL",1941
"1994 AR",1553
"1994 AZ",4436
"1994 CA",7454
"1994 CO",1708
"1994 CT",2024
"1994 DC",360
"1994 DE",9
"1994 FL",3351
"1994 GA",908
"1994 HI",723
"1994 IA",771
"1994 ID",3605
"1994 IN",3170
"1994 KS",240
"1994 KY",307
"1994 LA",360
"1994 MA",6966
"1994 MD",3963
"1994 ME",1254
"1994 MI",2269
"1994 MN",2290
"1994 MO",482
"1994 MS",3
"1994 MT",249
"1994 NC",2810
"1994 NE",123
"1994 NH",3677
"1994 NM",954
"1994 NV",117
"1994 NY",13141
"1994 OH",5965
"1994 OK",1756
"1994 OR",1592
"1994 PA",5871
"1994 RI",12
"1994 SC",470
"1994 SD",1170
"1994 TN",246
"1994 TX",2714
"1994 UT",1328
"1994 VA",2096
"1994 VT",1676
"1994 WA",1509
"1994 WV",15
"1995 AL",2180
"1995 AR",821
"1995 AZ",6477
"1995 CA",8052
"1995 CO",4816
"1995 CT",1358
"1995 DC",18
"1995 DE",30
"1995 FL",4193
"1995 GA",2243
"1995 HI",2350
"1995 IA",243
"1995 ID",3698
"1995 IL",4129
"1995 IN",1809
"1995 KS",699
"1995 KY",459
"1995 LA",597
"1995 MA",10835
"1995 MD",803
"1995 ME",1300
"1995 MI",2406
"1995 MN",3946
"1995 MO",3
"1995 MS",3
"1995 MT",423
"1995 NC",2739
"1995 NE",240
"1995 NH",3013
"1995 NM",7871
"1995 NV",240
"1995 NY",8785
"1995 OH",9682
"1995 OK",2008
"1995 OR",1679
"1995 PA",5992
"1995 RI",12
"1995 SC",1179
"1995 SD",360
"1995 TN",2095
"1995 TX",5620
"1995 UT",1683
"1995 VA",2170
"1995 VT",585
"1995 WA",7207
"1995 WY",3
"1996 AL",814
"1996 AR",468
"1996 AZ",1474
"1996 CA",6120
"1996 CO",6074
"1996 CT",567
"1996 DC",120
"1996 DE",474
"1996 FL",5148
"1996 GA",1025
"1996 HI",591
"1996 IA",1151
"1996 ID",5124
"1996 IL",6197
"1996 IN",3883
"1996 KY",114
"1996 LA",141
"1996 MA",9142
"1996 MD",6905
"1996 ME",687
"1996 MI",2402
"1996 MN",5972
"1996 MO",2787
"1996 MS",135
"1996 MT",1410
"1996 NC",2820
"1996 ND",3
"1996 NE",585
"1996 NH",5066
"1996 NM",2819
"1996 NV",864
"1996 NY",8265
"1996 OH",10150
"1996 OK",1038
"1996 OR",1663
"1996 PA",6624
"1996 RI",1988
"1996 SC",2428
"1996 SD",12
"1996 TN",141
"1996 TX",5246
"1996 UT",807
"1996 VA",2077
"1996 VT",5719
"1996 WA",9521
"1996 WV",117
"1996 WY",27
"1997 AK",527
"1997 AL",948
"1997 AR",2087
"1997 AZ",1799
"1997 CA",4792
"1997 CO",11582
"1997 CT",696
"1997 DC",117
"1997 FL",6528
"1997 GA",1013
"1997 HI",3
"1997 IA",3606
"1997 ID",7378
"1997 IL",3659
"1997 IN",4229
"1997 KY",12
"1997 LA",704
"1997 MA",4265
"1997 MD",4782
"1997 ME",449
"1997 MI",1580
"1997 MN",7364
"1997 MO",3548
"1997 MS",123
"1997 MT",891
"1997 NC",5718
"1997 ND",6
"1997 NE",234
"1997 NH",4833
"1997 NM",7762
"1997 NV",725
"1997 NY",1401
"1997 OH",8427
"1997 OK",1745
"1997 OR",907
"1997 PA",7225
"1997 RI",980
"1997 SC",1353
"1997 SD",9
"1997 TN",1400
"1997 TX",932
"1997 UT",890
"1997 VA",3556
"1997 VT",6771
"1997 WA",9175
"1997 WV",123
"1997 WY",15
"1998 AK",452
"1998 AL",1038
"1998 AR",4265
"1998 AZ",4233
"1998 CA",4139
"1998 CO",7994
"1998 CT",1031
"1998 DE",123
"1998 FL",8083
"1998 GA",1427
"1998 HI",9
"1998 IA",2160
"1998 ID",8947
"1998 IL",5046
"1998 IN",5757
"1998 KS",6
"1998 KY",624
"1998 LA",240
"1998 MA",8510
"1998 MD",1883
"1998 ME",6
"1998 MI",1554
"1998 MN",7998
"1998 MO",1328
"1998 MT",471
"1998 NC",5134
"1998 ND",540
"1998 NE",18
"1998 NH",6022
"1998 NM",4931
"1998 NV",1081
"1998 NY",12867
"1998 OH",9943
"1998 OK",1903
"1998 OR",4151
"1998 PA",1787
"1998 RI",1124
"1998 SC",1011
"1998 SD",351
"1998 TN",938
"1998 TX",8581
"1998 UT",5413
"1998 VA",2492
"1998 VT",2408
"1998 WA",11352
"1998 WV",6
"1998 WY",3
"1999 AK",6
"1999 AL",594
"1999 AR",483
"1999 AZ",3085
"1999 CA",4044
"1999 CO",8771
"1999 CT",873
"1999 DE",231
"1999 FL",9030
"1999 GA",2165
"1999 HI",9
"1999 IA",1396
"1999 ID",4837
"1999 IL",2350
"1999 IN",3028
"1999 KS",3
"1999 KY",129
"1999 LA",225
"1999 MA",4151
"1999 MD",2519
"1999 MI",1851
"1999 MN",4024
"1999 MO",3476
"1999 MS",3
"1999 MT",6
"1999 NC",4660
"1999 ND",380
"1999 NE",3
"1999 NH",2247
"1999 NM",7468
"1999 NV",120
"1999 NY",9784
"1999 OH",9284
"1999 OK",831
"1999 OR",2224
"1999 PA",3247
"1999 RI",2559
"1999 SC",379
"1999 SD",129
"1999 TN",1357
"1999 TX",5886
"1999 UT",1779
"1999 VA",965
"1999 VT",3584
"1999 WA",9803
"1999 WV",3
"2000 AK",429
"2000 AL",252
"2000 AR",209
"2000 AZ",4621
"2000 CA",4519
"2000 CO",12431
"2000 CT",1455
"2000 DE",132
"2000 FL",2467
"2000 GA",2234
"2000 HI",6
"2000 IA",1042
"2000 ID",2696
"2000 IL",4264
"2000 IN",5264
"2000 KS",480
"2000 KY",693
"2000 MA",4813
"2000 MD",4336
"2000 ME",1674
"2000 MI",3235
"2000 MN",7358
"2000 MO",3812
"2000 MT",264
"2000 NC",2375
"2000 ND",237
"2000 NE",858
"2000 NH",6015
"2000 NJ",956
"2000 NM",4274
"2000 NV",123
"2000 NY",12490
"2000 OH",6001
"2000 OK",985
"2000 OR",3591
"2000 PA",3206
"2000 RI",1041
"2000 SC",1338
"2000 SD",566
"2000 TN",1281
"2000 TX",3953
"2000 UT",1059
"2000 VA",5934
"2000 VT",9292
"2000 WA",8581
"2000 WV",3
"2000 WY",6
"2001 AK",123
"2001 AL",1389
"2001 AR",1608
"2001 AZ",7559
"2001 CO",10425
"2001 CT",243
"2001 DC",3
"2001 FL",1612
"2001 GA",617
"2001 HI",117
"2001 IA",1019
"2001 ID",2608
"2001 IL",2618
"2001 IN",5605
"2001 KS",708
"2001 KY",807
"2001 MA",138
"2001 MD",1955
"2001 ME",70
"2001 MI",1591
"2001 MN",1292
"2001 MO",2381
"2001 MT",1074
"2001 NC",4914
"2001 ND",335
"2001 NE",123
"2001 NH",1325
"2001 NJ",1322
"2001 NM",6372
"2001 NV",696
"2001 NY",8343
"2001 OH",8305
"2001 OK",1427
"2001 OR",1719
"2001 PA",539
"2001 RI",231
"2001 SC",1232
"2001 SD",18
"2001 TN",2813
"2001 TX",7436
"2001 UT",2738
"2001 VA",2901
"2001 VT",2261
"2001 WA",8277
"2001 WV",9
"2006 AK",1886
"2006 AL",2566
"2006 AR",2599
"2006 AZ",6832
"2006 CA",1399
"2006 CO",8231
"2006 DC",231
"2006 FL",15539
"2006 GA",6
"2006 IA",3
"2006 ID",2208
"2006 IN",9385
"2006 KS",11764
"2006 KY",459
"2006 LA",3
"2006 MA",1271
"2006 MD",3553
"2006 ME",699
"2006 MI",9090
"2006 MN",2497
"2006 MO",7155
"2006 MS",237
"2006 MT",5802
"2006 NC",5237
"2006 ND",1738
"2006 NE",1618
"2006 NH",2647
"2006 NM",3
"2006 NV",9
"2006 NY",8098
"2006 OH",10479
"2006 OK",1608
"2006 OR",566
"2006 PA",16732
"2006 RI",1483
"2006 SC",3337
"2006 TN",4256
"2006 TX",3131
"2006 UT",8691
"2006 VA",2961
"2006 VT",1161
"2006 WA",10490
"2006 WI",2
"2006 WV",867
"2006 WY",2404
"2007 AK",1628
"2007 AL",6
"2007 AR",1901
"2007 AZ",3108
"2007 CA",417
"2007 CO",12316
"2007 CT",2
"2007 DE",9
"2007 FL",13420
"2007 GA",6
"2007 ID",1720
"2007 IN",3280
"2007 KS",4379
"2007 KY",117
"2007 LA",3
"2007 MA",1487
"2007 MD",2381
"2007 ME",138
"2007 MI",3963
"2007 MN",1518
"2007 MO",2575
"2007 MS",801
"2007 MT",576
"2007 NC",5115
"2007 ND",342
"2007 NE",1313
"2007 NH",240
"2007 NM",3
"2007 NV",342
"2007 NY",11960
"2007 OH",10034
"2007 OK",261
"2007 OR",694
"2007 PA",9522
"2007 RI",651
"2007 SC",936
"2007 TN",2144
"2007 TX",3472
"2007 UT",8587
"2007 VA",933
"2007 VT",696
"2007 WA",10041
"2007 WV",360
"2007 WY",117
"2008 AK",8784
"2008 AL",15
"2008 AR",1508
"2008 AZ",1059
"2008 CA",420
"2008 CO",8178
"2008 DC",6
"2008 DE",6
"2008 FL",14196
"2008 GA",129
"2008 HI",3
"2008 ID",929
"2008 IN",4762
"2008 KS",1021
"2008 KY",1695
"2008 LA",3
"2008 MA",674
"2008 MD",4760
"2008 ME",234
"2008 MI",4783
"2008 MN",4426
"2008 MO",6508
"2008 MS",27
"2008 MT",2314
"2008 NC",2767
"2008 ND",3
"2008 NE",4801
"2008 NH",6
"2008 NV",126
"2008 NY",14938
"2008 OH",11611
"2008 OK",1877
"2008 OR",1732
"2008 PA",13773
"2008 RI",350
"2008 SC",2300
"2008 SD",3
"2008 TN",3295
"2008 TX",4146
"2008 UT",4011
"2008 VA",1837
"2008 VT",9
"2008 WA",9712
"2008 WI",335
"2008 WY",3
"2009 AK",1038
"2009 AL",1685
"2009 AR",2613
"2009 AZ",2241
"2009 CA",3
"2009 CO",10237
"2009 DE",9
"2009 FL",11855
"2009 GA",15
"2009 HI",366
"2009 IA",3
"2009 ID",2186
"2009 IN",123
"2009 KS",1555
"2009 KY",4360
"2009 LA",18
"2009 MA",762
"2009 MD",3044
"2009 ME",465
"2009 MI",11316
"2009 MN",1906
"2009 MO",11845
"2009 MS",123
"2009 MT",6
"2009 NC",4544
"2009 ND",536
"2009 NE",5661
"2009 NH",6
"2009 NV",354
"2009 NY",16233
"2009 OH",8146
"2009 OK",1261
"2009 OR",1181
"2009 PA",13498
"2009 RI",491
"2009 SC",4596
"2009 SD",3
"2009 TN",6022
"2009 TX",5690
"2009 UT",3
"2009 VA",3503
"2009 VT",3
"2009 WA",10305
"2009 WI",540
"2009 WV",701
"2010 AL",717
"2010 AR",2437
"2010 AZ",1508
"2010 CA",4217
"2010 CO",9931
"2010 CT",3
"2010 DE",9
"2010 FL",15009
"2010 GA",2441
"2010 HI",3
"2010 ID",8396
"2010 IL",6
"2010 KS",120
"2010 KY",3557
"2010 LA",3
"2010 MA",348
"2010 MD",3156
"2010 ME",591
"2010 MI",11192
"2010 MN",4710
"2010 MO",7987
"2010 MS",120
"2010 MT",468
"2010 NC",3
"2010 ND",1371
"2010 NE",10962
"2010 NM",9
"2010 NV",1063
"2010 NY",15007
"2010 OH",13564
"2010 OK",4413
"2010 OR",3795
"2010 PA",11044
"2010 RI",237
"2010 SC",7556
"2010 TN",7686
"2010 TX",9206
"2010 VA",5701
"2010 VT",3
"2010 WA",9265
"2010 WI",129
"2010 WV",3626
"2010 WY",3
"2011 AK",3
"2011 AL",689
"2011 AR",360
"2011 AZ",2268
"2011 CA",5297
"2011 CO",9495
"2011 CT",117
"2011 DC",3
"2011 DE",15
"2011 FL",16317
"2011 GA",3273
"2011 HI",255
"2011 ID",7266
"2011 IL",3
"2011 KS",585
"2011 KY",2359
"2011 LA",12
"2011 MA",569
"2011 MD",2674
"2011 ME",3873
"2011 MI",8515
"2011 MN",1347
"2011 MO",10078
"2011 MS",6
"2011 MT",1462
"2011 NC",6673
"2011 ND",2676
"2011 NE",2156
"2011 NH",120
"2011 NM",653
"2011 NV",135
"2011 NY",14391
"2011 OH",8787
"2011 OK",2284
"2011 OR",1239
"2011 PA",15020
"2011 RI",12
"2011 SC",2770
"2011 TN",4032
"2011 TX",12706
"2011 VA",7672
"2011 VT",474
"2011 WA",8953
"2011 WI",1721
"2011 WV",1791
"2012 AK",6604
"2012 AL",1695
"2012 AR",930
"2012 AZ",4482
"2012 CA",732
"2012 CT",3
"2012 DC",345
"2012 DE",249
"2012 FL",10259
"2012 GA",1329
"2012 HI",252
"2012 IA",3
"2012 ID",8995
"2012 IL",3
"2012 IN",3
"2012 KS",9
"2012 KY",4863
"2012 MA",1652
"2012 MD",10840
"2012 ME",9205
"2012 MI",9716
"2012 MO",11440
"2012 MS",12
"2012 MT",5928
"2012 NC",6873
"2012 ND",1522
"2012 NE",5960
"2012 NH",249
"2012 NM",18
"2012 NV",3740
"2012 NY",17521
"2012 OH",8670
"2012 OK",4293
"2012 OR",4425
"2012 PA",8284
"2012 RI",1043
"2012 SC",2266
"2012 TN",9703
"2012 TX",13219
"2012 UT",12
"2012 VA",12447
"2012 VT",8553
"2012 WA",11089
"2012 WI",9899
"2012 WV",869
"2013 AK",10706
"2013 AL",1281
"2013 AR",1619
"2013 AZ",4469
"2013 CA",4175
"2013 CO",3015
"2013 CT",3
"2013 DC",1027
"2013 DE",132
"2013 FL",8690
"2013 GA",1493
"2013 HI",3
"2013 ID",9847
"2013 KS",3
"2013 KY",5185
"2013 LA",15
"2013 MA",1838
"2013 MD",5642
"2013 ME",7516
"2013 MI",9034
"2013 MO",11919
"2013 MS",6
"2013 MT",10127
"2013 NC",8108
"2013 NE",8050
"2013 NM",123
"2013 NV",4737
"2013 NY",3420
"2013 OH",9992
"2013 OK",3190
"2013 OR",2694
"2013 PA",11070
"2013 RI",3047
"2013 SC",3687
"2013 TN",8141
"2013 TX",14484
"2013 UT",120
"2013 VA",7782
"2013 VT",2261
"2013 WA",7261
"2013 WI",780
"2013 WV",9
"2014 AK",900
"2014 AL",717
"2014 AR",1610
"2014 AZ",1811
"2014 CA",5972
"2014 CO",1938
"2014 DC",132
"2014 DE",1026
"2014 FL",3541
"2014 GA",1009
"2014 ID",8165
"2014 KY",1952
"2014 MD",1718
"2014 ME",4270
"2014 MI",6224
"2014 MO",6559
"2014 MS",231
"2014 MT",7954
"2014 NC",6663
"2014 NE",2630
"2014 NV",3
"2014 OH",6151
"2014 OK",1808
"2014 OR",1924
"2014 PA",8737
"2014 RI",1576
"2014 SC",585
"2014 TN",6188
"2014 TX",7298
"2014 UT",360
"2014 VA",4884
"2014 VT",357
"2014 WA",4168
"2014 WI",252
"2014 WY",3
"NA ",12
